term,definition,why_it_matters,example
Token,,, 
Embedding,,, 
Context window,,, 
Transformer,,, 
Self-attention,,, 
Hallucination,,, 
Temperature,,, 
Top-p,,, 
System prompt,,, 
RAG,,, 
Fine-tuning,,, 
Prompt injection,,, 
Grounding,,, 
Latency,,, 
Cost per token,,, 
Evaluation,,, 
Precision/Recall,,, 
Vector database,,, 
Agent,,, 
Tool calling,,, 
